iter	Passed	Remaining
293	4935	11851
294	4950	11831
295	4965	11809
296	4980	11789
297	4996	11770
298	5013	11753
299	5030	11737
300	5046	11718
301	5063	11702
302	5079	11685
303	5095	11665
304	5110	11645
305	5126	11626
306	5142	11607
307	5158	11588
308	5174	11570
309	5190	11552
310	5207	11536
311	5222	11517
312	5239	11499
313	5255	11482
314	5270	11460
315	5285	11441
316	5302	11423
317	5317	11404
318	5332	11384
319	5348	11365
320	5364	11346
321	5380	11328
322	5395	11309
323	5410	11289
324	5426	11270
325	5442	11252
326	5459	11235
327	5475	11218
328	5491	11199
329	5507	11181
330	5523	11164
331	5539	11144
332	5553	11124
333	5570	11107
334	5586	11089
335	5602	11070
336	5616	11050
337	5632	11032
338	5648	11014
339	5664	10996
340	5680	10978
341	5696	10959
342	5712	10941
343	5727	10923
344	5743	10904
345	5759	10886
346	5775	10868
347	5791	10851
348	5808	10834
349	5825	10819
350	5842	10803
351	5858	10784
352	5875	10768
353	5890	10749
354	5905	10730
355	5921	10711
356	5937	10693
357	5952	10675
358	5968	10656
359	5984	10638
360	6000	10621
361	6016	10603
362	6032	10585
363	6048	10567
364	6063	10549
365	6079	10530
366	6095	10512
367	6111	10495
368	6127	10477
369	6143	10460
370	6164	10451
371	6182	10436
372	6198	10419
373	6216	10404
374	6231	10385
375	6246	10366
376	6261	10347
377	6277	10330
378	6293	10312
379	6310	10295
380	6327	10280
381	6344	10264
382	6360	10246
383	6375	10228
384	6392	10210
385	6408	10193
386	6424	10176
387	6440	10158
388	6457	10143
389	6475	10128
390	6491	10111
391	6507	10092
392	6524	10076
393	6540	10059
394	6556	10042
395	6572	10024
396	6588	10007
397	6605	9990
398	6620	9972
399	6637	9955
400	6652	9937
401	6670	9922
402	6687	9906
403	6702	9888
404	6718	9870
